,has_company_logo,employment_type,required_experience,required_education,industry,function,fraudulent,state,words_count,words_mapped
256,1,1,5,1,59,4,0,21,2078,2
257,0,0,6,6,84,23,0,48,817,1
258,1,1,5,6,56,12,0,15,1564,2
259,1,1,5,6,56,25,0,39,2133,2
260,1,1,0,1,30,22,0,5,979,1
261,1,1,6,6,11,32,0,30,1944,2
262,1,0,6,1,31,11,0,16,84,0
263,1,1,5,1,22,18,0,5,2357,2
264,1,2,5,6,84,23,0,5,214,0
265,1,1,0,4,39,7,0,35,2930,3
266,1,4,2,4,50,7,0,32,1446,1
267,1,0,2,1,31,11,0,37,176,0
268,1,0,5,1,8,13,0,35,465,0
269,1,1,2,4,76,7,0,32,1489,1
270,1,1,6,6,84,23,0,35,1919,2
271,1,4,2,4,115,1,0,48,2172,2
272,1,0,6,1,31,23,0,34,171,0
273,1,1,2,6,115,7,0,43,1970,2
274,1,1,6,6,11,23,0,15,2179,2
275,1,1,5,1,56,18,0,7,2035,2
276,1,1,2,1,104,0,0,34,1102,1
277,1,1,5,1,59,0,0,39,3084,3
278,0,0,6,6,84,23,0,7,190,0
279,1,1,0,6,56,23,0,10,1012,1
280,0,1,0,6,109,23,0,20,8,0
281,1,0,6,1,31,23,0,5,171,0
282,1,0,6,1,31,23,0,5,171,0
283,1,1,6,6,6,7,0,20,1607,2
284,0,1,0,4,57,7,0,41,329,0
285,1,1,6,1,6,12,0,28,958,1
286,1,0,6,1,31,23,0,8,171,0
287,1,4,2,4,39,1,0,7,1816,2
288,1,0,2,4,104,37,0,34,1244,1
289,1,1,2,4,39,7,0,28,1840,2
290,1,2,6,6,84,23,0,11,555,0
291,1,1,5,1,56,18,0,5,3027,3
292,1,1,5,6,22,18,0,45,506,0
293,1,1,5,1,85,12,0,44,2321,2
294,1,4,2,4,26,7,0,28,1636,2
295,1,1,2,4,39,7,0,35,1735,2
296,1,2,6,5,84,23,0,35,1945,2
297,0,1,0,1,59,9,0,5,1552,2
298,1,0,6,1,31,23,0,5,171,0
299,1,4,2,4,57,7,0,49,1579,2
300,0,1,2,1,22,12,0,6,1322,1
301,1,1,2,4,39,7,0,5,2270,2
302,0,2,6,6,84,23,0,46,2369,2
303,0,4,0,0,35,32,0,36,124,0
304,1,0,6,1,31,23,0,5,171,0
305,0,1,6,6,50,24,0,15,38,0
306,1,1,5,6,14,21,0,35,1638,2
307,1,1,2,4,26,7,0,7,2750,3
308,1,1,2,6,26,32,0,44,1224,1
309,1,1,2,4,39,1,0,49,1762,2
310,1,1,5,1,22,9,0,5,1392,1
311,1,1,6,5,84,11,0,35,3083,3
312,1,1,2,4,57,1,0,15,1831,2
313,0,1,6,6,0,23,0,44,2871,3
314,1,1,2,4,39,7,0,36,1706,2
315,0,1,2,4,22,1,1,5,207,0
316,0,1,6,6,37,23,0,24,694,1
317,1,1,2,4,57,1,0,15,1831,2
318,1,1,2,4,26,7,0,8,1788,2
319,1,1,0,1,39,20,0,6,2582,3
320,1,2,6,6,84,23,0,23,1762,2
322,1,0,6,1,31,23,0,5,171,0
323,1,3,4,8,29,3,0,23,1008,1
324,1,1,2,4,104,1,0,9,191,0
325,1,4,2,4,31,7,0,30,1788,2
326,1,0,6,1,31,23,0,5,171,0
327,1,1,2,4,26,7,0,20,2019,2
328,0,1,6,6,39,13,0,46,792,1
329,1,1,6,6,11,32,0,24,2629,3
330,1,0,6,1,31,23,0,45,171,0
331,0,1,3,3,50,16,0,0,484,0
332,1,1,0,0,59,9,0,39,1863,2
333,0,2,6,6,84,23,0,4,28,0
334,1,0,6,1,31,23,0,2,158,0
335,1,2,6,6,84,23,0,5,974,1
336,1,1,0,1,26,1,0,43,2729,3
337,1,1,6,4,109,34,0,45,2378,2
338,1,1,0,6,84,5,0,33,3093,3
339,1,0,6,1,31,23,0,36,171,0
340,0,4,2,6,26,23,0,5,1463,1
341,0,1,6,6,56,23,1,36,1397,1
342,1,0,6,6,84,23,0,10,2141,2
343,1,1,5,6,73,18,0,10,2720,3
345,1,2,6,6,84,24,0,48,2975,3
346,1,1,2,4,104,24,0,9,210,0
347,1,1,6,6,6,15,0,41,1415,1
348,1,0,2,1,31,11,0,50,148,0
349,1,1,2,4,22,7,0,48,1937,2
350,1,1,5,6,22,12,0,46,1469,1
351,1,1,3,1,100,28,0,35,1607,2
352,1,0,6,1,31,23,0,48,171,0
353,1,1,2,4,85,7,0,44,2525,3
354,1,1,5,1,70,6,0,15,2378,2
355,1,0,2,1,31,11,0,5,148,0
356,1,4,2,4,39,7,0,15,1899,2
357,0,5,4,6,84,26,0,35,321,0
358,1,4,4,6,84,18,0,0,1164,1
359,1,1,2,4,64,1,0,4,1921,2
360,1,1,5,1,22,23,0,5,2054,2
361,1,1,2,4,22,7,0,44,2197,2
362,1,0,6,1,31,23,0,10,171,0
363,1,0,6,1,31,23,0,35,171,0
364,1,1,2,4,50,16,0,5,2024,2
365,1,1,1,6,59,12,0,35,2933,3
366,0,4,0,6,104,20,0,15,3633,7
367,1,1,5,1,21,12,1,5,3528,5
368,1,0,2,1,31,11,0,24,148,0
369,1,0,6,1,31,23,0,24,171,0
370,1,1,0,4,8,7,0,35,1346,1
371,1,2,6,6,84,23,0,35,2381,2
372,1,1,2,4,50,1,0,16,1685,2
373,0,1,6,6,22,18,0,43,1397,1
374,1,1,6,6,84,12,0,35,2574,3
375,0,1,6,6,50,23,1,10,1539,2
376,0,2,0,6,104,32,0,44,1566,2
377,1,0,6,1,31,23,0,35,171,0
378,1,1,6,6,59,23,0,20,2295,2
379,1,1,6,6,115,12,0,4,1835,2
380,1,2,6,6,84,23,0,5,2989,3
381,1,2,6,6,84,23,0,23,134,0
382,1,0,6,1,31,23,0,4,171,0
383,1,0,6,1,31,23,0,43,171,0
384,1,0,6,1,31,23,0,10,171,0
385,1,1,2,4,26,7,0,44,2009,2
386,1,1,6,6,84,12,0,5,2301,2
387,1,1,2,6,52,1,0,36,2050,2
388,1,1,2,4,64,1,0,40,1896,2
389,1,1,6,6,85,12,1,44,2058,2
390,1,1,2,4,37,20,0,45,3007,3
391,1,1,6,6,84,23,0,6,1737,2
392,1,1,6,1,56,12,1,5,1949,2
393,1,1,0,6,22,7,0,5,2019,2
394,1,1,1,5,24,12,0,0,1028,1
395,1,1,6,1,85,12,0,19,1905,2
396,1,4,2,4,67,24,0,35,1766,2
397,1,1,6,6,56,12,0,5,2432,2
398,1,1,6,6,11,23,0,49,2179,2
399,1,1,2,4,39,1,0,43,1787,2
400,1,2,6,6,84,23,0,49,1763,2
401,0,1,6,6,73,23,0,36,297,0
402,0,0,2,6,84,17,0,0,428,0
403,1,0,6,1,31,23,0,31,171,0
404,1,1,2,4,39,7,0,42,2754,3
405,1,1,0,6,39,23,0,46,2241,2
406,0,1,2,4,39,32,0,28,1762,2
407,1,1,5,2,85,24,1,5,1802,2
408,1,1,5,1,21,18,0,5,2897,3
409,1,1,0,1,9,32,0,21,1968,2
410,1,1,6,1,31,11,0,19,2658,3
411,1,4,2,4,115,7,0,44,1564,2
412,1,2,6,6,84,23,0,5,1122,1
413,1,1,2,1,51,22,0,10,2448,2
414,0,1,6,6,22,23,0,25,1313,1
415,0,1,6,6,73,23,0,5,384,0
416,1,2,6,6,84,23,0,15,2154,2
417,1,2,6,6,84,23,0,5,993,1
418,1,0,6,1,31,23,0,49,171,0
419,1,1,0,6,91,32,0,36,2171,2
420,1,0,2,1,31,11,0,9,176,0
421,1,1,2,4,39,1,0,35,2038,2
422,1,1,5,6,59,12,0,0,1999,2
423,1,4,6,6,50,16,0,23,337,0
424,1,1,6,6,11,23,0,29,2911,3
425,0,1,5,1,118,12,0,39,538,0
426,1,1,6,1,56,12,1,5,2280,2
427,1,1,6,6,11,23,0,23,2738,3
428,1,1,6,2,50,16,0,44,1745,2
429,1,1,2,4,37,7,0,35,2840,3
430,0,1,2,1,22,18,0,32,2219,2
431,1,1,6,6,11,23,0,15,2917,3
432,1,1,5,1,22,32,0,44,3353,4
433,1,2,6,6,84,23,0,49,1976,2
434,1,0,6,1,31,23,0,35,171,0
435,1,2,6,6,84,23,0,16,774,1
436,1,1,2,4,26,7,0,25,1883,2
437,1,1,5,1,70,20,0,7,2360,2
438,0,0,6,6,84,23,0,35,1698,2
439,0,1,6,6,115,22,0,18,175,0
440,1,4,2,4,37,7,0,36,1797,2
441,1,1,6,1,56,12,0,25,757,1
442,1,2,6,6,84,23,0,5,245,0
443,1,1,2,1,59,12,0,5,653,1
444,1,4,2,4,39,1,0,11,1382,1
445,1,1,5,1,70,6,0,5,3427,4
446,1,0,6,1,31,23,0,28,171,0
447,1,1,0,1,56,22,0,5,1348,1
448,1,1,5,1,56,18,0,15,1858,2
449,1,0,6,1,31,23,0,19,171,0
450,1,0,6,1,31,23,0,7,171,0
451,1,0,6,1,31,23,0,43,171,0
452,1,1,6,6,11,32,0,15,1946,2
453,1,0,6,1,31,23,0,39,171,0
454,1,0,6,1,31,23,0,32,171,0
455,0,1,6,6,84,23,0,44,2977,3
456,1,1,2,4,15,16,0,38,1734,2
457,1,0,6,1,31,23,0,24,171,0
458,1,4,2,4,59,5,0,44,487,0
459,1,4,2,4,25,7,0,15,1447,1
460,0,1,5,1,22,37,0,38,1090,1
461,1,1,1,5,22,12,0,38,2600,3
462,1,1,5,6,29,9,0,0,1560,2
463,1,0,6,1,31,23,0,5,171,0
464,1,1,5,6,73,28,0,0,2217,2
465,0,1,1,1,50,8,0,7,2341,2
466,1,1,5,1,22,12,0,5,3537,5
467,1,1,5,1,56,18,0,24,3595,5
468,0,1,6,6,39,13,0,25,1845,2
469,0,1,6,6,84,23,0,36,474,0
470,1,1,5,1,73,22,0,5,3228,4
471,0,1,5,6,8,5,0,39,3062,3
472,1,1,5,1,22,32,0,5,3350,4
473,1,2,6,6,84,23,0,49,1764,2
474,1,1,5,1,67,20,0,35,2070,2
475,0,1,6,6,50,23,0,5,849,1
476,1,2,6,6,84,23,0,15,2530,3
477,1,1,2,4,64,7,0,6,1387,1
478,1,1,0,4,65,24,0,2,793,1
479,0,1,6,4,73,22,0,5,244,0
480,1,4,2,4,37,7,0,45,1802,2
481,1,1,6,6,11,23,0,15,2737,3
482,1,1,2,4,64,7,0,4,2299,2
483,1,1,0,1,52,17,0,13,544,0
484,1,0,6,1,31,23,0,44,171,0
485,1,1,5,1,85,24,1,5,3233,4
486,1,0,6,1,31,23,0,44,171,0
487,1,1,5,6,59,12,0,5,1635,2
488,0,1,6,6,25,32,0,35,346,0
489,1,4,0,0,105,23,0,23,1663,2
490,1,1,0,4,39,20,0,28,2119,2
491,1,0,6,1,31,23,0,44,171,0
492,1,2,6,6,84,23,0,46,2180,2
493,1,1,5,6,84,12,0,20,688,1
494,1,1,2,6,22,25,0,20,2785,3
495,1,0,6,1,31,23,0,36,171,0
496,1,2,6,6,84,24,0,4,3323,4
497,1,1,5,1,22,22,0,5,2949,3
498,1,0,5,1,59,12,0,5,1341,1
499,1,1,0,1,39,0,0,45,1064,1
500,0,2,2,6,84,23,0,5,1906,2
501,1,1,0,1,59,5,0,35,1956,2
502,0,1,6,6,39,23,0,5,1206,1
503,1,1,6,4,57,32,0,44,794,1
504,0,1,0,1,74,18,0,36,637,1
505,0,1,6,6,70,23,0,20,645,1
506,1,1,2,2,59,32,0,11,2124,2
507,1,2,6,6,84,23,0,6,866,1
508,1,1,6,6,23,32,0,15,926,1
509,1,1,5,4,23,32,0,15,2383,2
510,0,1,6,6,84,23,0,24,414,0
511,1,1,6,6,41,0,0,5,475,0
512,1,1,0,6,109,20,0,15,2452,2
513,1,1,5,1,73,2,0,35,1440,1
514,1,1,5,1,73,18,0,15,1760,2
515,1,1,0,1,31,20,0,8,2398,2
516,1,1,2,4,26,7,0,37,1905,2
517,1,1,0,1,57,17,0,28,2829,3
518,0,2,6,6,84,23,0,51,197,0
519,0,2,6,6,84,23,0,41,90,0
520,1,1,2,1,22,32,0,5,3225,4
521,1,1,2,4,39,7,0,42,2145,2
522,0,1,6,6,84,4,0,44,395,0
523,1,3,4,1,124,37,0,8,1164,1
524,1,1,2,4,23,24,0,41,295,0
525,1,1,0,1,50,4,0,7,3041,3
526,1,0,6,1,31,23,0,5,171,0
527,1,1,6,4,23,26,0,36,2473,3
528,0,2,6,6,84,23,0,13,1979,2
529,1,0,6,1,31,23,0,18,171,0
530,1,0,5,1,50,18,0,0,23,0
531,1,0,6,1,31,23,0,50,171,0
532,1,1,5,2,85,24,1,5,1911,2
533,1,0,6,1,31,23,0,44,180,0
534,1,1,5,1,85,27,1,5,2258,2
535,1,2,6,6,84,23,0,0,385,0
536,1,2,6,6,84,23,1,44,3524,5
537,1,0,6,1,31,23,0,37,158,0
538,1,1,5,1,56,18,0,5,3117,3
539,0,1,2,1,22,22,0,5,2691,3
540,1,1,0,1,22,32,0,44,1141,1
541,1,0,6,1,31,23,0,11,165,0
542,1,0,6,1,31,23,0,5,165,0
543,1,1,5,1,85,0,1,5,2148,2
544,1,1,2,4,64,7,0,35,2880,3
545,1,1,0,6,59,13,0,35,1234,1
546,1,1,6,6,56,12,0,5,1939,2
547,0,2,6,6,84,23,0,0,3329,4
548,1,1,6,4,6,32,0,20,1554,2
549,1,0,6,6,84,23,0,0,330,0
550,1,0,6,1,31,23,0,28,158,0
551,1,0,6,1,31,23,0,4,158,0
552,1,1,6,6,84,12,0,5,2878,3
553,1,1,2,4,26,7,0,10,2111,2
554,1,1,0,1,73,2,0,14,2175,2
555,1,1,6,6,73,23,0,14,1354,1
556,1,1,0,4,39,7,1,39,1672,2
557,1,1,2,4,109,7,1,44,970,1
558,0,1,5,1,22,18,0,5,621,1
559,1,1,1,6,59,12,0,35,1965,2
560,1,1,5,1,85,12,0,44,1463,1
561,0,2,6,6,84,23,0,44,70,0
562,0,2,6,6,84,23,0,5,1319,1
563,1,4,2,4,50,16,0,36,1418,1
564,1,1,6,6,84,23,0,35,1246,1
565,0,0,6,6,84,18,0,5,408,0
566,0,0,6,6,84,18,0,5,1028,1
567,0,5,4,1,70,5,0,46,46,0
568,1,1,2,6,73,3,0,35,1714,2
569,1,1,0,1,22,13,0,48,2099,2
570,1,1,0,6,91,32,0,0,2183,2
571,0,2,6,6,84,23,0,5,805,1
572,1,2,6,6,84,23,0,44,1313,1
573,1,1,5,6,123,27,0,4,576,0
574,1,1,6,6,50,16,0,23,345,0
575,0,1,6,6,25,7,0,35,2649,3
576,1,1,6,6,22,12,0,5,1923,2
577,1,1,5,6,115,27,0,4,912,1
578,1,4,4,6,73,22,0,35,1162,1
579,0,1,6,6,26,7,0,35,2543,3
580,1,1,6,6,11,23,0,24,2733,3
581,0,1,5,7,8,14,0,32,2053,2
583,0,1,5,1,56,18,0,5,2771,3
584,1,2,6,6,84,24,0,5,3335,4
585,0,1,0,8,76,16,0,44,151,0
586,1,1,5,6,22,9,0,35,1439,1
587,0,0,5,6,84,23,0,28,25,0
588,1,1,0,8,73,1,0,23,1058,1
589,0,1,0,1,6,33,0,0,1668,2
590,1,2,6,6,84,23,0,5,1168,1
591,1,1,5,1,26,34,0,8,2481,3
592,1,1,6,1,84,27,0,6,1864,2
593,1,1,5,6,84,27,0,13,2032,2
594,1,1,5,6,39,36,0,46,2984,3
595,1,1,0,6,39,20,0,34,2845,3
596,0,1,6,6,84,23,0,23,449,0
597,1,1,6,1,100,28,0,30,690,1
598,1,1,4,8,59,12,0,35,1158,1
599,1,1,0,6,39,13,0,34,3136,3
600,1,1,2,6,22,30,0,38,1497,1
601,1,1,2,4,83,1,0,44,1646,2
602,1,2,6,6,84,23,0,0,274,0
603,1,1,6,1,84,32,0,35,1801,2
604,1,1,5,1,85,24,1,5,2587,3
605,1,1,5,6,73,28,0,35,2272,2
606,1,2,6,6,84,23,0,15,375,0
607,1,0,5,1,0,0,0,5,1287,1
608,1,1,0,0,84,23,0,49,1192,1
609,0,1,3,6,23,20,0,48,1172,1
610,0,1,5,1,59,12,0,5,1204,1
611,1,1,6,6,22,12,0,5,2392,2
612,1,0,6,1,31,23,0,11,158,0
613,1,1,6,6,22,18,0,48,1254,1
614,1,1,0,4,84,32,0,44,870,1
615,0,1,6,6,84,23,0,44,2531,3
616,0,0,6,6,84,18,0,5,658,1
617,1,1,5,1,56,18,0,48,520,0
618,0,1,5,6,56,18,0,5,1292,1
619,0,1,0,1,59,35,0,5,382,0
620,1,1,0,6,0,0,0,45,639,1
